#T	R	G	B
-0.11	1.0399490528017417	0.9907054950262696	0.974435752514704
-0.1	1.03747858854236	0.991079670147977	0.9780037671199607
-0.09	1.0350291721746514	0.9914469552571991	0.981578055342387
-0.08	1.032614024423235	0.9918016274130302	0.9851763778645566
-0.07	1.0302481732535405	0.9921372416729906	0.9888183257863514
-0.06	1.0279484877037341	0.9924466111021217	0.9925254190297585
-0.05	1.0257337180019268	0.9927217840124635	0.9963212136714187
-0.04	1.0236245443227896	0.9929540174529049	1.000231420978636
-0.03	1.0216436368987798	0.9931337458145323	1.0042840413956502
-0.02	1.019815730605226	0.993250543242096	1.008509517265676
-0.01	1.0181677176009059	0.993293078341583	1.0129409087001007
0	1.0173091575544413	0.9933004659068599	1.0153958433149508
0.01	1.004077982727524	0.9948936250886391	1.0385747951348172
0.02	0.9922197894430038	0.9962796986758303	1.0597622198263672
0.03	0.9815353094291188	0.9974946740546241	1.0791883979432433
0.04	0.9718621327936878	0.9985668636103244	1.0970511040714406
0.05	0.9630664738303832	0.9995188187926084	1.1135208928419258
0.06	0.9550370794962132	1.0003687031445776	1.12874543504298
0.07	0.9476806483279197	1.0011312938719776	1.1428530857097758
0.08	0.9409183347146804	1.0018187235448477	1.1559558304762314
0.09	0.9346830464781682	1.0024410369002104	1.1681517275306226
0.1	0.9289173311987922	1.0030066140575427	1.1795269392407521
0.11	0.9235717055016516	1.0035224958651054	1.1901574289144796
0.12	0.9186033217670673	1.0039946366258665	1.2001103833448992
0.13	0.9139748947799252	1.0044281023040318	1.209445409999229
0.14	0.9096538306897426	1.0048272273578078	1.2182155483248809
0.15	0.9056115149155722	1.0051957398597333	1.226468127164378
0.16	0.9018227260091553	1.0055368620839105	1.2342454942941936
0.17	0.8982651501351155	1.0058533919500168	1.2415856393161033
0.18	0.8949189765216057	1.0061477694092882	1.2485227272850934
0.19	0.8917665585202831	1.0064221308965002	1.255087557360259
0.2	0.8887921281703443	1.006678354256899	1.2613079582610882
0.21	0.8859815546569718	1.0069180960202349	1.2672091302805517
